Lung'Ie (Principense),Portugues,Tipo,Uso IA
Santa Rita,Santa Rita                          T01,Vocabulario,Dicionário
Santa Roza,Santa Rosa                          T01,Vocabulario,Dicionário
Santana,Santana                                T01,Vocabulario,Dicionário
Santantoni Pikan,sendê byororo expr. estender,Vocabulario,Dicionário
sera doxi,cheirar bem                   T17,Vocabulario,Dicionário
sapatxya,sapatear                           C03,Vocabulario,Dicionário
sesa-Ie,cécia-do-Príncipe                 T06,Vocabulario,Dicionário
setxi,sete                               L10,Vocabulario,Dicionário
seetu,certo                                L03    sêxtu num. sexto,Vocabulario,Dicionário
sêgunda-fya,segunda-feira                    T03    sêy num. seis,Vocabulario,Dicionário
segwa,segurar                                C13    sêysentu num. seiscentos,Vocabulario,Dicionário
seka,cercar                                  C11    3. conj. mas,Vocabulario,Dicionário
sekadô,secador                               L12    sobaadu n. sobrado,Vocabulario,Dicionário
seketaryu,secretário                         C14    sôfê kosan 1. expr. ficar triste;,Vocabulario,Dicionário
seku,seco                                  L12,Vocabulario,Dicionário
sôfê xidentxi,acidentar-se              T17,Vocabulario,Dicionário
seku bôrôrô,sequíssimo                    L11,Vocabulario,Dicionário
Sôkôô,Nossa Senhora do Socorro            C03,Vocabulario,Dicionário
sokope,sokope. Tipo de dança tradicionalC03,Vocabulario,Dicionário
sekulu,século                                C11,Vocabulario,Dicionário
sola,sola do pé                           T05,Vocabulario,Dicionário
sêlêlê,sêlêlê. Espécie de pássaro           T06,Vocabulario,Dicionário
somba,sombra                               C15,Vocabulario,Dicionário
sêlu,selo                                    C12,Vocabulario,Dicionário
sembleya,assembleia                          C14,Vocabulario,Dicionário
sendê,estender                               C17    2. ideo. cf. riku sônôsônô,Vocabulario,Dicionário
sopa pingada,dar tiro                    T17    tama jambi 1. expr. entrar em transe;,Vocabulario,Dicionário
tama kintxiba,fumar cachimbo                  T17,Vocabulario,Dicionário
sosiali,social                            C14    tama minu expr. engravidar,Vocabulario,Dicionário
sôvê,chover                                 C07    tama mye 1. expr. amasiar-se com u,Vocabulario,Dicionário
"ar possuído por uma
sumana",semana                               L03    entidade; 3. expr. montar,Vocabulario,Dicionário
sun,cf. sumeC13                                    tama upêtu bala expr. assumir com,Vocabulario,Dicionário
supada,espada                               C11    tandu prep. desde,Vocabulario,Dicionário
supeetu,esperto                           L16    tansa v. calcar,Vocabulario,Dicionário
swaswa,cf. kobo-ufyaT07                            te 1. n. país; 2. n. terra,Vocabulario,Dicionário
taadi,tarde                                 L02,Vocabulario,Dicionário
"há muito
taadi petepete",muito tarde               T12    tempo; 3. expr. há tempos,Vocabulario,Dicionário
taaxi,costas                                T05    2. expr. ser cabeça-dura; 3. expr.,Vocabulario,Dicionário
"ter
tabwe",trabalho                              L03    responsabilidadeT17,Vocabulario,Dicionário
tama,tomar                                  L02    tê papu 1. expr. cantar bem;,Vocabulario,Dicionário
tama banhu,tomar banho                   T17    2. expr. falar bem,Vocabulario,Dicionário
tama foosa,tomar fôlego                  T17    tê pene 1. expr. ter dó; 2. expr. ter pena,Vocabulario,Dicionário
tôlôja,tôlôja. Tipo de dança tradicional C03,Vocabulario,Dicionário
teempi,panela tradicional             L14,Vocabulario,Dicionário
têênu,treino                         E14,Vocabulario,Dicionário
tono,picar                                T04,Vocabulario,Dicionário
teesa-fya,terça-feira                T03,Vocabulario,Dicionário
tôôdô,tordo                               E06,Vocabulario,Dicionário
tôôdô-Ie,tordo-do-Príncipe,Vocabulario,Dicionário
têêzê,treze                         L10,Vocabulario,Dicionário
telefoni,telefone                    L05,Vocabulario,Dicionário
tôôdô-Santome,tordo-de-São-Tomé,Vocabulario,Dicionário
tôôni,estorninho-do-Príncipe,Vocabulario,Dicionário
tempu,tempo                          L06    (Lamprotornis ornatos)T06,Vocabulario,Dicionário
tempu rôpê,época colonial         C15    tôôni-bôbô n. cf. tôôniT06,Vocabulario,Dicionário
ten,até                            L07    toxi v. tossir,Vocabulario,Dicionário
trezentu,trezentos                      C16,Vocabulario,Dicionário
têsêdô,tecedor                       C14    tudu pe expr. tudo,Vocabulario,Dicionário
têtuuga-warenga,tartaruga ambulância,Vocabulario,Dicionário
to kêtê pwê,adicionar um pouco            txiipa n. intestino                          T05,Vocabulario,Dicionário
Txiloli,Tchiloli                          C11,Vocabulario,Dicionário
txintxintxolo,tecelão-de-São-Tomé               ubasu-uman n. axila,Vocabulario,Dicionário
ubudu,pedra                                   C13,Vocabulario,Dicionário
txitxi-paa,maçarico-das-rochas                  ubuka seka expr. calar-se,Vocabulario,Dicionário
ubwê,boi                                      T07,Vocabulario,Dicionário
txiw,tio                                L09,Vocabulario,Dicionário
udedu-di-musa,indicador                       T05,Vocabulario,Dicionário
txya bweeba,barbear                   T17,Vocabulario,Dicionário
txya toxi,tossir                      T17   udedu-ope n. dedo do pé,Vocabulario,Dicionário
txya ukpaka,descascar                 T17   udêntu adv. dentro,Vocabulario,Dicionário
txyabeta,txyabeta. Tipo de dança                ufaka n. faca,Vocabulario,Dicionário
txyan di,além de                       C11,Vocabulario,Dicionário
txyatu,teatro                            C11,Vocabulario,Dicionário
ufundi,ufundi. Prato típico à base,Vocabulario,Dicionário
"o típico elaborado
txyôria",teoria                          C12,Vocabulario,Dicionário
"peixe e
txyotxyo",txyotxyoT06                           temperos da terra                       T0,Vocabulario,Dicionário
ufya-alimanha,coentro                         T09,Vocabulario,Dicionário
ufya-amiso,ufya-amisoT09,Vocabulario,Dicionário
ufya-azêdinha,azedinha                        T09,Vocabulario,Dicionário
ufya-bambi,chile branco                       T09,Vocabulario,Dicionário
ufya-bengi,bengue,Vocabulario,Dicionário
ubaaku-uku,ânus                         T05,Vocabulario,Dicionário
ubaasu,braço                            T05,Vocabulario,Dicionário
ufya-bengi-doxi,bengue-doce,Vocabulario,Dicionário
uba-mye,sucupira                        T09    ufya-boba n. begônia ampla,Vocabulario,Dicionário
ufya-boba-baanku,begônia                      T09,Vocabulario,Dicionário
ufya-boba-vêmê,begônia          T09   ufya-kabese-kitxi n. folha-da-fortuna,Vocabulario,Dicionário
ufya-bola-mye,erva-de-São-João,Vocabulario,Dicionário
ufya-kata-kikitxi,ufya-kata-kikitxiT15,Vocabulario,Dicionário
ufya-bola-omi,folha-manuel-homem       ufya-kata-subi n. ufya-kata-subiT15,Vocabulario,Dicionário
ufya-keza-mye,vassourinha-doce,Vocabulario,Dicionário
ufya-bolelega,beldroega-grande         (Scoparia dulcis)T15,Vocabulario,Dicionário
ufya-keza-omi,ufya-keza-omi,Vocabulario,Dicionário
ufya-bolelega-mye,beldroega-pequena    (Borreria verticillata)T15,Vocabulario,Dicionário
ufya-klêmentê-baanku,quebra-pedras,Vocabulario,Dicionário
ufya-bolelega-omi,beldroega-grande     (Chamaesyce prostrata)T15,Vocabulario,Dicionário
ufya-kwentu,coentro-de-São-Tomé,Vocabulario,Dicionário
ufya-budu,folha-pedra                  (Eryngium foetidum)T15,Vocabulario,Dicionário
ufya-landê,simão-correia,Vocabulario,Dicionário
ufya-fakêza,vassourinha-doce           ufya-levi n. musgo do mato,Vocabulario,Dicionário
ufya-fitxisu,saia-roxa                 ufya-levi-omi n. ufya-levi-omi,Vocabulario,Dicionário
ufya-fôgêtê,folha-foguete              ufya-madê n. mastruço,Vocabulario,Dicionário
ufya-fugia,mamona               T09   ufya-makabali n. erva-de-colégio,Vocabulario,Dicionário
ufya-gêêza,samambaia            T09,Vocabulario,Dicionário
ufya-mali-bêbê,malêbêbê            T15,Vocabulario,Dicionário
ufya-gêêza-bentu,samambaia      T09,Vocabulario,Dicionário
ufya-malixa,folha-malícia,Vocabulario,Dicionário
ufya-gêêza-mye,folha-de-igreja,Vocabulario,Dicionário
ufya-manjôlô,manjôlô               T15,Vocabulario,Dicionário
ufya-gêêza-omi,folha-de-igreja,Vocabulario,Dicionário
ufya-mawva,malva (Abutilon,Vocabulario,Dicionário
ufya-gêêza-zuden,samambaia      T09,Vocabulario,Dicionário
ufya-maxkan,folha mosquito,Vocabulario,Dicionário
ufya-gôgô,"gôgô, andiroba",Vocabulario,Dicionário
ufya-gôgô-vêmê,"gôgô, andiroba",Vocabulario,Dicionário
ufya-muba,maioba,Vocabulario,Dicionário
ufya-idintxi,ufya-idintxiT09,Vocabulario,Dicionário
ufya-peetu,saia-roxa (Datura metel)T15,Vocabulario,Dicionário
ufya-kabese,folha-da-mina              ufya-peetu-baanku n. trombeteira,Vocabulario,Dicionário
ufya-kabese-kadê,folha-da-fortuna      ufya-pinikanu n. cordão-de-frade,Vocabulario,Dicionário
ufya-pôôkô,folha-porco                          ukpami n. secador de peixe,Vocabulario,Dicionário
ukperi,ukperi. Cesto tradicional,Vocabulario,Dicionário
ufya-pôôkô-usan,erva-tostão                     feita de folhas,Vocabulario,Dicionário
uku,nádegas                                    T05,Vocabulario,Dicionário
ufya-ribu-baabu,kata-grande                     ukundu n. pelo pubiano e axilar,Vocabulario,Dicionário
ukuru,escuro                                 L11,Vocabulario,Dicionário
ufya-santaji-ubasu-kafe,ufya-santaji­,Vocabulario,Dicionário
ukuru din,muito escuro                      L12,Vocabulario,Dicionário
ufya-santope,eufórbia (Euphorbia hirta)T15     ukuru kaynkayn expr. muito escuro,Vocabulario,Dicionário
ufya-sôfi,melão-de-São-Caetano                  ukwatu n. lado,Vocabulario,Dicionário
ukyabu,quiabo                          T02,Vocabulario,Dicionário
ufya-tximija,natruja (Artemisia vulgaris)T15   ulensu n. lenço,Vocabulario,Dicionário
ufya-ugalu,heliotrópio-indiano                  uman n. mão,Vocabulario,Dicionário
ufya-ugêdê,ufya-ugêdêT15,Vocabulario,Dicionário
ugbami,ficar sem fazer nada T17,Vocabulario,Dicionário
ufya-uguya-pobê,agulha-de-pobre         T15,Vocabulario,Dicionário
ufya-vintê,folha-vintém                         umatu jigijigi expr. floresta densa,Vocabulario,Dicionário
ufya-xa-gaban,chá-gabão,Vocabulario,Dicionário
ufya-zaya,ufya-zaya (Cassia podocarpa)T15,Vocabulario,Dicionário
uga,rua                                 C10,Vocabulario,Dicionário
umundu,mundo                                   C13,Vocabulario,Dicionário
ugaafu,garfo                            L06,Vocabulario,Dicionário
uniku,único                                  C03,Vocabulario,Dicionário
ugani,à parte                         C17,Vocabulario,Dicionário
unôtxi petepete,noite escura                T12,Vocabulario,Dicionário
unôtxi pi,noite cerrada                     T12,Vocabulario,Dicionário
uka,ocá                                 C15,Vocabulario,Dicionário
upa,árvore                                     C13,Vocabulario,Dicionário
ukampu,campo                            C10,Vocabulario,Dicionário
upa-alikasi,acácia                             T15,Vocabulario,Dicionário
ukantu,canto                            C17    upa-bodi n. árvore-bode,Vocabulario,Dicionário
ukpaka,casca                            T09    upa-fita n. pau-sabão (Dracaena arborea),Vocabulario,Dicionário
upa-gofi,embaúba (Cecropia peltata)T15         utximu adj. último,Vocabulario,Dicionário
upa-gofi-baabu,pau-sabrina                      uvôdô n. festa                               L0,Vocabulario,Dicionário
upa-ise,pau-esteira (Pandanus tho)T15,Vocabulario,Dicionário
upa-kaba,pau-cabra (Trema orientalis)T15,Vocabulario,Dicionário
upa-kukundya,coqueiro                   T15,Vocabulario,Dicionário
vaa,passar                                T04,Vocabulario,Dicionário
upa-kwêdanu,pau-fede,Vocabulario,Dicionário
upa-paage,pau-ferro                             vani uman expr. despedir-se,Vocabulario,Dicionário
upa-saban,pau-sabão                             vapô n. barco,Vocabulario,Dicionário
vasalu,soldado                            C11,Vocabulario,Dicionário
upa-têêxi,pau-três (Allophylus africanus)T15,Vocabulario,Dicionário
upa-ufew,pau-ferro,Vocabulario,Dicionário
upa-ugêgê,cajazeira                     T15,Vocabulario,Dicionário
upa-viru,upa-viruT15                           vedadi n. verdade,Vocabulario,Dicionário
upêtu-baanku,peito-branco               T06    vêêdê petepete expr. muito verde             T,Vocabulario,Dicionário
urabu-tujyan,rabo-de-tesoura            T06    vêmê 1. n. peixe vermelho,Vocabulario,Dicionário
vêmê barara,cf. vêmê rararaT12,Vocabulario,Dicionário
vêmê rarara,muito vermelho             T12,Vocabulario,Dicionário
usolu,sol                               C12    verasan n. variedade,Vocabulario,Dicionário
usolu tantan,sol muito forte         T12    vêsê n. vez                                  C03,Vocabulario,Dicionário
vijyamentu,vijyamentu.                       wo sê adv. agora,Vocabulario,Dicionário
vika,vir                              C01,Vocabulario,Dicionário
xibi-baana,barbeiro                               T06,Vocabulario,Dicionário
xibi-fixa,xibi-fixaT06,Vocabulario,Dicionário
xibi-igigu,andorinha-das-chaminés                 T06,Vocabulario,Dicionário
xibi-ubuka-longu,beija-flor                       T06,Vocabulario,Dicionário
xibi-umatu,bico-de-lacre,Vocabulario,Dicionário
vulukan,vulcão                        C13,Vocabulario,Dicionário
vwadô,peixe voador,Vocabulario,Dicionário
xigi,continuar                                    C10,Vocabulario,Dicionário
xigintxi,seguinte                               C11,Vocabulario,Dicionário
vya we,voltar a vir                T17   xila pro. aquilo,Vocabulario,Dicionário
vyuvinha,viuvinha                     T06   ximya v. plantar,Vocabulario,Dicionário
wanga,espalhar                        A03   xinkwenta num. cinquenta,Vocabulario,Dicionário
we vika,vai e vem                  T17   xintxidu 1. n. atenção; 2. n. memória;,Vocabulario,Dicionário
weee,nossa!                      L06   3. n. sentido,Vocabulario,Dicionário
xoferi,motorista                        C14    zulu din expr. muito azul,Vocabulario,Dicionário
xoxo,pica-peixe-de-peito-azul                   zulyu n. julho,Vocabulario,Dicionário
zunta,juntar                         L03,Vocabulario,Dicionário
zunta udêdu,rezar                 T17,Vocabulario,Dicionário
xtanjêw,estrangeiro                     L04,Vocabulario,Dicionário
xtuda,estudar                           L06,Vocabulario,Dicionário
xtudu,estudo                            C10,Vocabulario,Dicionário
xuxadadi,sociedade                      C12,Vocabulario,Dicionário
xyadu,cheio                           A03,Vocabulario,Dicionário
xyadu txibika,cheio até a boca       T17,Vocabulario,Dicionário
xyê,sair                                L05,Vocabulario,Dicionário
xyense,ciência                          C16,Vocabulario,Dicionário
xyota-kafe,xyota-kafeT06,Vocabulario,Dicionário
yêlê,aqui está!                    L06,Vocabulario,Dicionário
yew,ilhéu                                L13,Vocabulario,Dicionário
zêtu,jeito                               L14,Vocabulario,Dicionário
Zotona,Azeitona                       T01,Vocabulario,Dicionário
zubyan,bolso                            L05,Vocabulario,Dicionário
DES,no                     L01    à parte adv. ugani,Vocabulario,Dicionário
POSS,no                    L01    abaixar v. basa,Vocabulario,Dicionário
SUJ,no                     L01    abaixar a cabeça expr. kani kabese,Vocabulario,Dicionário
abrir a vista,ranka uê                        T16,Vocabulario,Dicionário
abrir os dentes,bii idintxi                   T10,Vocabulario,Dicionário
amar,mêsê                                L02,Vocabulario,Dicionário
adulto,ningê-tamwin                     C01    amasiar-se com um homem,Vocabulario,Dicionário
adventista,diventxixta                 L16   expr. tama omi                              T1,Vocabulario,Dicionário
aeroporto,ukampu-avyan                   L13   amasiar-se com uma mulher,Vocabulario,Dicionário
amassado,moladu                        C08,Vocabulario,Dicionário
aferventar,febenta                      C08,Vocabulario,Dicionário
África,Afika                          L03,Vocabulario,Dicionário
ambos,dôdôsu                           L08,Vocabulario,Dicionário
africano,afikanu                      L03,Vocabulario,Dicionário
ameaçar,myansa                           T04,Vocabulario,Dicionário
agarrar,gansa                           T04,Vocabulario,Dicionário
amendoim,môlombi                         T09,Vocabulario,Dicionário
aglomerar na rua,tutu pwê uga         T17,Vocabulario,Dicionário
América,Merica                         L04,Vocabulario,Dicionário
americano,amerikanu                    L04,Vocabulario,Dicionário
agosto,agôxtô                           T03,Vocabulario,Dicionário
Américas,Merica                        L04,Vocabulario,Dicionário
agricultura,agikutwa                    C14,Vocabulario,Dicionário
amiga,miga                               L14,Vocabulario,Dicionário
água,awa                                C13,Vocabulario,Dicionário
"e com um homem
Água Namoro",Awa Namôrô                T01    expr. tama omi                              T17,Vocabulario,Dicionário
agulha-de-pobre,ufya-uguya-pobê         T15    amigar-se com uma mulher e,Vocabulario,Dicionário
ainda não,maxi fa                     L02    amigo 1. n. daman;,Vocabulario,Dicionário
ajoelhar,da ôzen                      T11,Vocabulario,Dicionário
amoreira,môrêra                          C15,Vocabulario,Dicionário
ajuda,zuda                              L01,Vocabulario,Dicionário
andar,nda                                L14,Vocabulario,Dicionário
alcançar,alikansa                       T04,Vocabulario,Dicionário
andar na ponta dos pés,konta ope  T14,Vocabulario,Dicionário
alegria,alêgia                          C09,Vocabulario,Dicionário
andim,adi                                C08,Vocabulario,Dicionário
além de,txyan di                       C11,Vocabulario,Dicionário
alfaiate,lifyatxi                       C14    2. n. pasu-kuuzu,Vocabulario,Dicionário
Alfândega,Alifandiga                  T01    andorinha-das-chaminés n. xibi-igigu  T06,Vocabulario,Dicionário
alicate,likatxi                         T02    anelar n. udedu-neli,Vocabulario,Dicionário
alisar,santa                            T04    angolar n. ngola,Vocabulario,Dicionário
almirante,almirantxi                     C11   animal n. bisu,Vocabulario,Dicionário
almofariz,idô                           T02    anjo n. anzu,Vocabulario,Dicionário
altura,atura                            C12    ano n. anu,Vocabulario,Dicionário
aluno,alunu                             C10    ansioso expr. ki fôlôgô ixima ixima,Vocabulario,Dicionário
amadurecer,bôbô                         C08    antebraço n. puusu-uman,Vocabulario,Dicionário
amanhã,"amanhan, amanha                T03    antes adv. antxi",Vocabulario,Dicionário
antigamente,dinora                     C01    asno (Balistes punctatus) n. azunu,Vocabulario,Dicionário
assado,sadu                                   L03,Vocabulario,Dicionário
assar,se                                        L17,Vocabulario,Dicionário
apalpar o terreno,palipa usan         T16,Vocabulario,Dicionário
assembleia,sembleya                             C14,Vocabulario,Dicionário
apanhar,golo                             C13,Vocabulario,Dicionário
assim,axi                                     C01,Vocabulario,Dicionário
apitar,toka pitu                      T17,Vocabulario,Dicionário
assumir compromisso,tama,Vocabulario,Dicionário
aplanar,pana utabu                    T16    upêtu bala,Vocabulario,Dicionário
apoiar,poya                              T04    assumir responsabilidades expr. tê kont,Vocabulario,Dicionário
aposta,poxta                             A03    astronômico adj. axtronomiku,Vocabulario,Dicionário
até amanhã,dêsu kize                         T11,Vocabulario,Dicionário
aprender,xina                            L03,Vocabulario,Dicionário
atenção,xintxidu                                C16,Vocabulario,Dicionário
aprovar,da keletu                     T10,Vocabulario,Dicionário
"o de madeira ou
aproveitar",poveta                        L05    uma pedra expr. txya vuguvugu,Vocabulario,Dicionário
aquele,ixila                           L12    atrasar v. taada,Vocabulario,Dicionário
atravessar,saata                                C13,Vocabulario,Dicionário
atum,atun                                       C06,Vocabulario,Dicionário
aquilo,xila                            L12    atum-judeu (Katsuwonus pelamis) n. vinka,Vocabulario,Dicionário
aranha,pwe-ve                            T07    autonomia n. atonomya,Vocabulario,Dicionário
avançar,vansa                                   A03,Vocabulario,Dicionário
avião,avyan                                     L13,Vocabulario,Dicionário
areia,arya                               C13,Vocabulario,Dicionário
avô,pwe-gaani                                   N09,Vocabulario,Dicionário
Armação,Ramasan                        T01,Vocabulario,Dicionário
axila,ubasu-uman                                T05,Vocabulario,Dicionário
armadilha,mutambu                        T02,Vocabulario,Dicionário
arrancar,aranka                          A03    n. musan,Vocabulario,Dicionário
arranhar,nhanu                           T04    azedinha n. ufya-azêdinha,Vocabulario,Dicionário
arrastar,saa                            C06     azeite n. izêtxi,Vocabulario,Dicionário
arrefecer,firya                          C13    Azeitona top. Zotona,Vocabulario,Dicionário
arrepender,rêpendê                       T04    azul n. zulu,Vocabulario,Dicionário
arroz do Príncipe,urôsu-Ie              C08     baço n. ubasu,Vocabulario,Dicionário
bagagem,kaagu                                   L13,Vocabulario,Dicionário
arte,aatxi                               C14    baiacu n. bubu,Vocabulario,Dicionário
árvore,upa                               C13    balançar expr. da vunga,Vocabulario,Dicionário
árvore-bode,upa-bodi                     C15    Balão ant. Balan,Vocabulario,Dicionário
asa,aza                                  C09    banana n. baana,Vocabulario,Dicionário
beber muito álcool,toka awa            T17,Vocabulario,Dicionário
banana-da-terra,"baan’omi, baana-omi  L02        2. n. ufya-boba-vêmê                         T09",Vocabulario,Dicionário
banana-do-congo,baana-kongô              T02    begônia ampla n. ufya-boba                   T09,Vocabulario,Dicionário
banana-gromichel,baana-gamixeli          T02    beija-flor 1. n. beza-foli;,Vocabulario,Dicionário
banana-maçã,baana-masan                  T02,Vocabulario,Dicionário
beijar,beza                               T04,Vocabulario,Dicionário
beira,ubuka                               C13,Vocabulario,Dicionário
banana-pão pequenina,baana-mye  T02             Bela Vista top. Bela Vixta                   T01,Vocabulario,Dicionário
banana-prata,"baana-paata,                        beldroega-grande (Talinum triangulare)",Vocabulario,Dicionário
banda musical,banda                     C03     beldroega-pequena (Portulaca oleracea),Vocabulario,Dicionário
bandeira,bandya                         C05,Vocabulario,Dicionário
beliscar,tolo                             T04,Vocabulario,Dicionário
banho,banhu                              L03,Vocabulario,Dicionário
Belo Monte,Belu Montxi                  L13,Vocabulario,Dicionário
banqueiro,bankêw                         C14,Vocabulario,Dicionário
bem,bon                                 L03,Vocabulario,Dicionário
bar,butxikin                             L07,Vocabulario,Dicionário
bênção,bensa                              C01,Vocabulario,Dicionário
barbear,txya bweeba                   T17,Vocabulario,Dicionário
barbeiro,xibi-baana                      T06,Vocabulario,Dicionário
barbudo,babudu                           T09,Vocabulario,Dicionário
barco,vapô                               L13,Vocabulario,Dicionário
berinjela,binzela                         C02,Vocabulario,Dicionário
barranco,ôgbôgôdô                        C17,Vocabulario,Dicionário
berla,bela                                L05,Vocabulario,Dicionário
barriga,bweega                           T05,Vocabulario,Dicionário
berrar,bera                               T04,Vocabulario,Dicionário
biblioteca,biblyoteka                     L14,Vocabulario,Dicionário
bica,bika                                 T09,Vocabulario,Dicionário
bicho,bisu                                L06,Vocabulario,Dicionário
bater com um pau,sôvê upa             T17    bico-de-lacre (Estrilda astrild),Vocabulario,Dicionário
bater palmas,batê uman                   T10,Vocabulario,Dicionário
bilhete de identidade,bilêtê              L17,Vocabulario,Dicionário
batizado,butxizadu                     C16,Vocabulario,Dicionário
Bioko,Fanandu Opo                       C17,Vocabulario,Dicionário
batizar,butxiza                          C11,Vocabulario,Dicionário
biólogo,biologu                         L01,Vocabulario,Dicionário
bebê,anzu                               C03,Vocabulario,Dicionário
blusa,buluza                              C03,Vocabulario,Dicionário
beber,bêbê                               L07,Vocabulario,Dicionário
Boa Esperança,Bôa Xpêransa              L12,Vocabulario,Dicionário
beber álcool,kume awa                 T14,Vocabulario,Dicionário
boca,ubuka                                T05,Vocabulario,Dicionário
beber bebida alcoólica,"kenta kaseda,",Vocabulario,Dicionário
bochecha,ugbami                           T05,Vocabulario,Dicionário
boi,ubwê                                 T07    cada pro. kêdê,Vocabulario,Dicionário
bolo,bôlô                                C02    cada um adv. ?a-?a,Vocabulario,Dicionário
bolsa de estudos,bowsa                   C10    caderno n. kadeenu,Vocabulario,Dicionário
bolso,zubyan                             L05    café n. kafe,Vocabulario,Dicionário
café-da-manhã,matabisu                          L14,Vocabulario,Dicionário
Bom Viver,Bon Vêvê                     T01    café-do-mato n. kafe-baabu,Vocabulario,Dicionário
Bombom,Bombon                          C13    caié n. govina,Vocabulario,Dicionário
Boné de Jóquei,Bone Joka               C17    cair dentro d’água expr. fu txubun,Vocabulario,Dicionário
cajado,bodan                                    A04,Vocabulario,Dicionário
cajá-manga,kajamanga                            C15,Vocabulario,Dicionário
cajazeira,upa-ugêgê                             T15,Vocabulario,Dicionário
botequim,butxikin                        L07,Vocabulario,Dicionário
calar a boca,kala ubuka                      T14,Vocabulario,Dicionário
braço,ubaasu                             T05,Vocabulario,Dicionário
calar-se,ubuka seka                          T17,Vocabulario,Dicionário
branco,baanku                          C03,Vocabulario,Dicionário
calar-se completamente,kala pi               T14,Vocabulario,Dicionário
Brasil,Baji                            L01,Vocabulario,Dicionário
calar-se sem dar um pio,kala pi              T14,Vocabulario,Dicionário
bravo,bôsêdu                           L13,Vocabulario,Dicionário
calcanhar,"kakanha, kakanhan                     T05",Vocabulario,Dicionário
brigar,biga                              T04,Vocabulario,Dicionário
calção,kalisan                                  C03,Vocabulario,Dicionário
brigar com,kwê ki                     T14,Vocabulario,Dicionário
calcar,tansa                                    C09,Vocabulario,Dicionário
calor,kalô                                      C13,Vocabulario,Dicionário
brilhar muito,baa fefefe              T12,Vocabulario,Dicionário
brincar,fooga                            L03    cama n. kama,Vocabulario,Dicionário
broto de palmeira,mutendê                T02    camarão n. izê,Vocabulario,Dicionário
Bulufaka,"Bul’ufaka                     T01    caminho n. ufi-kumi, ufi-kumin",Vocabulario,Dicionário
buscar,buka                               L11   Campanha top. Kampanha,Vocabulario,Dicionário
cabeça,kabese                            T05    campo n. ukampu,Vocabulario,Dicionário
cabelo,kabelu                            T05    camundongo n. ôrôkô,Vocabulario,Dicionário
Cabo Verde,Ukabu Vêêdê                 L04    canário n. kanariw,Vocabulario,Dicionário
cabra,kaba                               T07    canela n. kanela,Vocabulario,Dicionário
caçar,montxya                            T04    canga n. ôrôrô,Vocabulario,Dicionário
cacau,kakaw                              L12    cansar v. kansa,Vocabulario,Dicionário
cachimbo,kintxiba                        T02    cantar 1. expr. txya n’ôtô; 2. v. kanta,Vocabulario,Dicionário
cachorro,kasô                            C06    cantar bem expr. tê papu,Vocabulario,Dicionário
caçoar,fê mangasan                    T11    cantiga n. kantxiga,Vocabulario,Dicionário
canto,ukantu                             C17    cedo n. sedu,Vocabulario,Dicionário
capacidade,poxi                          C08    cem num. sen,Vocabulario,Dicionário
capim,"ariba                              C09    cem, quando seguido por outro",Vocabulario,Dicionário
capim-de-burro,ariba-kasô                T09    numeral num. sentxi                         C17,Vocabulario,Dicionário
cara,ka                                  T05    cemitério n. ximintew,Vocabulario,Dicionário
caracol,igbêgbê                          T07    centro n. metedi,Vocabulario,Dicionário
caramujo,karamujo                        T09    cercar v. seka,Vocabulario,Dicionário
carangueijo,kara                         T07    certo adj. seetu,Vocabulario,Dicionário
carapau,gapan                            C06    cesto feito com folha de palmeira,Vocabulario,Dicionário
carga,kaagu                              L13,Vocabulario,Dicionário
céu,ose                                  C12,Vocabulario,Dicionário
carne,kaani                              T02    n. ufya-xa-gaban,Vocabulario,Dicionário
carne de porco assada,pôôkô sadu         L03    chamar v. sama                              L05,Vocabulario,Dicionário
caro,karu                              L02    chamar-se v. sama,Vocabulario,Dicionário
carpinteiro,kapintêw                     C14    chão n. usan,Vocabulario,Dicionário
carro,ukaru                              L07    chateado adj. bôsêdu,Vocabulario,Dicionário
carta,kaata                               L17   chegar v. xiga,Vocabulario,Dicionário
carvão,ibi                               C13    cheio adj. xyadu,Vocabulario,Dicionário
casa,kaxi                                L01    cheio até a boca expr. xyadu txibika,Vocabulario,Dicionário
casaco,kazaku                            C03    cheirar bem 1. expr. sera doxi;,Vocabulario,Dicionário
casa-grande,"kaxi-gaani                   L12    2. expr. sera tententen                 T17,",Vocabulario,Dicionário
casamento,kazamentu                      L16    cherne n. seeni,Vocabulario,Dicionário
casar,kaza                               C11    chicotear expr. da vaa,Vocabulario,Dicionário
casar-se,mara uman                    T16    chifrar expr. da kooni,Vocabulario,Dicionário
casca,ukpaka                             T09    chile branco n. ufya-bambi,Vocabulario,Dicionário
China,Xina                             C10,Vocabulario,Dicionário
chover,sôvê                              C07,Vocabulario,Dicionário
católico,katoliku                      L16,Vocabulario,Dicionário
churrasco de porco,pôôkô sadu            L03,Vocabulario,Dicionário
cavaleiro,kavalêw                        C11,Vocabulario,Dicionário
chuva,usuva                              C17,Vocabulario,Dicionário
cavalo,kavalu                             L17,Vocabulario,Dicionário
cidade,posan                             L03,Vocabulario,Dicionário
ciência,xyense                           C16,Vocabulario,Dicionário
cílio,pene-uê                            T05,Vocabulario,Dicionário
co para plantar tubérculos,da fogan                              T10    cinco num. xinku,Vocabulario,Dicionário
